R. Luke DuBois,Ameera Harouda,Riccardo Sabatini,Sarah Gray,Iraola,isPartial
0,0,0,42,28,False
0,0,0,56,37,False
0,0,0,26,17,False
0,0,0,33,31,False
0,0,0,40,27,False
0,0,0,15,35,False
0,0,0,28,28,False
0,0,11,22,39,False
0,0,10,21,31,False
0,0,0,10,21,False
0,0,0,25,14,False
0,0,0,39,33,False
0,0,0,26,26,False
0,0,0,24,23,False
0,0,0,20,18,False
0,0,8,23,17,False
0,0,0,22,17,False
0,0,0,18,15,False
0,0,8,27,15,False
0,0,0,39,15,False
0,0,7,11,29,False
0,0,0,19,31,False
6,0,0,13,27,False
0,0,0,29,23,False
0,0,0,22,16,False
6,0,0,26,20,False
0,0,5,18,38,False
0,0,0,19,19,False
5,0,0,19,25,False
0,0,0,18,26,False
0,0,0,20,29,False
0,0,0,23,24,False
0,0,0,17,20,False
0,0,0,24,20,False
4,0,0,8,21,False
4,0,0,16,32,False
3,0,0,17,23,False
4,0,0,23,30,False
0,0,0,15,34,False
0,0,0,12,21,False
0,0,3,10,22,False
0,0,0,18,28,False
0,0,0,18,16,False
0,0,0,22,21,False
0,0,0,15,30,False
0,0,0,13,27,False
0,0,0,18,16,False
3,0,0,19,26,False
0,0,0,17,22,False
0,0,0,18,27,False
2,0,2,18,26,False
0,0,2,20,32,False
0,0,2,15,29,False
0,0,2,14,18,False
0,0,2,15,21,False
0,0,0,15,34,False
0,0,0,20,33,False
0,0,2,25,29,False
0,0,0,15,28,False
0,0,0,15,27,False
2,0,2,12,28,False
2,0,2,17,29,False
2,0,2,12,23,False
0,0,2,11,29,False
0,0,0,19,28,False
0,0,0,17,23,False
0,0,2,18,25,False
2,0,2,16,26,False
0,0,0,19,37,False
0,0,0,14,32,False
1,0,1,17,32,False
1,0,1,24,32,False
0,0,2,18,35,False
1,0,1,12,23,False
0,0,1,16,25,False
1,0,2,18,26,False
0,0,1,17,26,False
0,0,2,17,27,False
0,0,1,12,18,False
0,0,1,15,23,False
1,0,2,15,33,False
0,0,1,14,33,False
0,0,1,22,41,False
1,0,0,13,29,False
0,0,0,17,26,False
1,0,1,12,31,False
0,0,1,17,39,False
1,0,1,12,29,False
0,0,1,15,31,False
0,0,1,11,28,False
0,0,1,11,24,False
0,0,2,16,34,False
0,0,2,12,32,False
0,0,1,14,25,False
1,0,1,19,27,False
1,0,2,13,23,False
1,0,1,20,24,False
1,0,1,15,25,False
1,0,1,14,55,False
0,0,1,17,27,False
0,0,1,16,39,False
0,0,1,14,26,False
0,0,1,19,24,False
0,0,1,18,24,False
0,0,0,15,25,False
1,0,1,12,25,False
1,0,1,20,20,False
1,0,0,11,24,False
1,0,1,15,25,False
0,0,1,15,25,False
0,0,1,13,21,False
1,0,1,11,25,False
0,0,1,15,21,False
1,0,1,15,22,False
0,0,1,12,23,False
0,0,0,18,23,False
0,0,1,17,25,False
1,0,1,15,24,False
0,0,1,15,24,False
1,0,1,17,24,False
1,0,1,12,24,False
1,0,1,12,23,False
0,0,1,15,26,False
0,0,0,13,18,False
0,0,1,16,21,False
0,0,1,11,19,False
1,0,1,15,20,False
0,0,1,15,29,False
0,0,1,13,30,False
0,0,2,15,26,False
1,0,1,11,26,False
0,0,0,13,19,False
0,0,0,14,22,False
0,0,0,17,25,False
0,0,0,15,31,False
0,0,0,15,36,False
0,0,1,13,100,False
0,0,1,12,40,False
0,0,0,11,48,False
0,0,1,18,33,False
0,0,1,15,27,False
0,0,1,13,22,False
0,0,0,12,20,False
0,0,1,12,22,False
0,0,1,13,24,False
0,0,3,14,18,False
0,0,2,14,21,False
1,0,2,12,20,False
1,0,2,14,26,False
0,0,1,13,24,False
0,0,1,13,27,False
0,0,1,13,16,False
0,0,2,13,22,False
0,0,1,15,22,False
1,0,1,14,27,False
0,0,0,11,20,False
0,0,2,13,17,False
0,0,2,13,19,False
0,0,1,13,18,False
1,0,1,15,17,False
0,0,1,12,19,False
0,0,1,14,18,False
0,0,1,13,17,False
0,0,1,14,15,False
0,0,2,12,14,False
0,0,1,14,14,False
0,0,2,11,15,False
0,0,0,10,11,False
0,0,1,15,16,False
0,0,1,13,18,False
0,0,2,12,17,False
0,0,0,14,12,False
0,0,1,13,16,False
0,0,1,13,17,False
1,0,1,13,15,False
0,0,1,14,16,False
1,0,1,10,17,False
0,0,5,11,19,False
0,0,4,12,15,False
0,0,1,31,15,False
0,0,1,17,15,False
0,0,1,13,18,False
0,0,1,25,15,False
0,0,0,13,16,False
0,0,1,12,19,False
0,0,1,12,15,False
0,0,1,12,19,False
0,0,0,14,19,False
0,0,1,25,15,False
0,0,1,16,16,False
0,0,1,14,17,False
0,0,0,15,15,False
0,0,0,15,25,False
0,0,1,15,46,False
0,0,0,9,20,False
0,0,1,14,13,False
0,0,1,17,13,False
0,0,1,22,16,False
0,0,0,16,28,False
0,0,1,16,26,False
0,0,0,14,19,False
0,0,0,15,16,True
