Wendy Chung,David Epstein,Andrew Bastawrous,Gavin Schmidt,Iraola,isPartial
0,18,0,8,15,False
0,13,0,0,20,False
0,19,0,0,9,False
0,15,0,0,17,False
0,12,0,0,15,False
0,23,0,0,19,False
0,20,0,0,15,False
0,12,0,0,21,False
0,9,0,6,17,False
11,11,0,0,11,False
0,15,0,0,8,False
11,11,0,0,18,False
0,14,0,0,14,False
5,16,0,5,12,False
0,14,0,0,10,False
0,17,0,5,9,False
4,16,0,4,9,False
0,18,0,4,8,False
0,7,0,0,8,False
0,11,0,0,8,False
0,10,0,0,16,False
3,9,0,0,17,False
3,10,0,0,15,False
0,9,0,0,12,False
3,13,0,6,9,False
3,9,0,0,11,False
3,6,0,3,21,False
6,6,0,6,10,False
5,7,0,5,14,False
3,8,0,5,14,False
3,11,0,0,16,False
0,12,0,2,13,False
2,6,0,0,11,False
2,6,0,0,11,False
2,8,0,0,11,False
0,14,0,2,17,False
2,10,0,2,13,False
0,9,0,2,16,False
3,11,0,3,18,False
2,11,0,2,11,False
2,6,0,2,12,False
2,13,0,2,15,False
2,11,0,2,8,False
3,7,0,2,12,False
1,5,0,3,16,False
1,7,0,3,15,False
3,8,0,3,9,False
1,5,0,1,14,False
2,7,0,3,12,False
2,9,0,1,15,False
2,14,0,2,14,False
1,6,0,1,17,False
2,10,0,1,16,False
1,11,0,1,10,False
1,8,0,1,11,False
1,7,0,1,19,False
0,7,0,1,18,False
2,6,0,1,15,False
1,6,0,1,15,False
2,6,0,1,15,False
1,6,0,1,15,False
2,11,0,3,15,False
1,6,0,1,12,False
2,8,0,2,16,False
1,7,0,1,15,False
1,7,0,1,12,False
1,5,0,2,14,False
1,7,0,2,14,False
2,4,0,1,20,False
1,8,0,2,17,False
1,4,0,2,17,False
1,10,0,3,17,False
1,8,0,1,19,False
2,4,0,1,13,False
2,5,0,1,13,False
1,10,0,2,14,False
1,7,0,1,14,False
1,10,0,1,14,False
1,8,0,1,10,False
1,6,0,1,12,False
1,6,1,1,18,False
1,6,0,1,18,False
1,6,0,1,22,False
1,100,0,1,16,False
1,17,0,1,14,False
1,11,0,1,17,False
1,8,0,1,21,False
1,8,0,1,16,False
1,8,0,0,17,False
1,11,0,1,15,False
0,7,0,1,13,False
2,8,0,1,18,False
1,5,0,1,18,False
1,9,0,1,13,False
1,7,0,1,15,False
1,5,0,0,13,False
1,5,0,0,13,False
1,5,0,1,14,False
1,7,0,1,30,False
1,4,0,1,15,False
1,6,0,1,21,False
1,6,0,1,14,False
1,6,0,1,13,False
1,6,0,1,13,False
1,5,0,1,14,False
1,5,0,0,13,False
1,6,0,1,11,False
1,6,0,1,13,False
1,7,0,1,13,False
1,7,0,1,13,False
1,5,0,1,12,False
1,7,0,0,13,False
1,6,0,1,12,False
1,7,0,1,12,False
1,6,0,1,13,False
1,13,0,1,13,False
1,6,0,1,14,False
1,7,0,0,13,False
1,7,0,0,13,False
1,7,0,1,13,False
1,7,0,1,13,False
1,12,0,1,13,False
1,15,0,1,14,False
2,9,0,1,10,False
2,11,1,2,11,False
1,9,0,1,10,False
0,9,0,0,11,False
2,6,0,1,16,False
1,6,1,1,17,False
2,6,0,1,14,False
1,7,0,0,14,False
1,6,0,1,10,False
1,10,0,2,12,False
1,15,0,1,14,False
1,9,0,1,17,False
1,6,0,0,20,False
1,7,0,1,54,False
1,9,0,1,22,False
1,6,0,1,26,False
1,6,0,1,18,False
1,6,0,1,15,False
1,8,0,0,12,False
0,5,0,1,11,False
1,5,0,1,12,False
1,9,0,1,13,False
1,8,0,1,10,False
1,8,0,1,12,False
1,5,1,1,11,False
1,8,0,2,14,False
1,6,0,1,13,False
1,5,0,1,15,False
1,5,0,3,9,False
1,6,0,1,12,False
2,9,0,1,12,False
1,10,1,1,15,False
1,7,0,1,11,False
1,7,0,2,9,False
1,11,0,1,10,False
1,9,0,1,10,False
1,5,0,1,9,False
1,5,0,1,10,False
1,6,1,1,10,False
1,4,0,1,9,False
1,5,0,1,8,False
1,6,0,1,7,False
1,5,0,1,8,False
1,6,0,1,8,False
1,7,1,1,6,False
1,8,0,1,8,False
1,6,0,0,10,False
1,12,0,1,9,False
1,5,0,1,7,False
1,4,0,0,9,False
1,5,0,1,9,False
1,3,0,0,8,False
1,6,0,0,9,False
1,4,0,1,9,False
1,5,0,0,10,False
1,5,0,1,8,False
1,5,0,3,8,False
1,7,0,1,8,False
1,8,0,1,10,False
1,7,0,1,8,False
1,7,0,1,9,False
1,14,0,1,10,False
1,13,0,1,8,False
1,29,0,0,10,False
0,43,0,1,10,False
1,18,0,1,8,False
1,13,0,1,9,False
0,19,0,1,9,False
1,16,0,1,8,False
1,21,0,1,13,False
1,13,0,1,25,False
0,11,0,0,11,False
2,12,0,1,7,False
1,15,0,1,7,False
1,19,0,1,8,False
1,23,0,0,15,False
1,16,0,0,14,False
1,12,0,1,10,False
1,9,0,1,9,True
