Jinsop Lee,Saki Mafundikwa,Eleanor Longden,Derek Paravicini and Adam Ockelford,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,0,0,33,False
0,0,0,0,26,False
0,0,0,0,23,False
0,0,0,0,18,False
0,0,0,0,17,False
0,7,0,0,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,29,False
0,0,6,0,31,False
0,0,0,0,27,False
0,0,0,0,23,False
0,5,0,0,16,False
0,0,0,0,20,False
0,0,0,0,38,False
0,0,0,0,19,False
0,0,0,0,25,False
0,0,0,0,26,False
0,0,0,0,29,False
0,0,0,0,24,False
0,0,0,0,20,False
0,4,0,0,20,False
0,0,0,0,21,False
0,0,0,0,32,False
0,3,0,0,23,False
0,0,0,0,30,False
0,0,0,0,34,False
0,0,3,0,21,False
0,0,0,0,22,False
0,0,0,0,28,False
0,3,0,0,16,False
0,0,0,0,21,False
0,0,0,0,30,False
0,0,0,0,27,False
0,2,0,0,16,False
0,0,0,0,26,False
0,0,0,0,22,False
0,0,0,0,27,False
0,0,0,0,26,False
0,0,0,0,32,False
0,2,0,0,29,False
0,0,0,0,18,False
0,0,0,0,21,False
0,0,0,0,34,False
0,0,0,0,33,False
0,2,0,0,29,False
0,0,0,0,28,False
0,0,0,0,27,False
0,0,0,0,28,False
0,0,2,0,29,False
0,0,2,0,23,False
0,2,2,0,29,False
0,0,0,0,28,False
0,2,0,0,23,False
0,2,0,0,25,False
0,0,0,0,26,False
0,0,1,0,37,False
0,0,1,0,32,False
0,0,0,0,32,False
0,0,1,0,32,False
0,0,1,0,35,False
0,0,0,0,23,False
0,0,0,0,25,False
0,2,1,0,26,False
0,0,1,0,26,False
0,1,0,0,27,False
0,1,1,0,18,False
0,1,0,0,23,False
0,1,0,0,33,False
0,0,0,0,33,False
0,0,0,0,41,False
0,0,0,0,29,False
0,0,1,0,26,False
0,0,0,0,31,False
0,1,1,0,39,False
0,0,2,0,29,False
0,0,1,0,31,False
0,1,1,0,28,False
0,1,0,0,24,False
0,1,1,0,34,False
0,1,2,0,32,False
0,1,1,0,25,False
0,0,0,0,27,False
0,1,2,0,23,False
0,0,0,0,24,False
0,0,1,0,25,False
0,1,1,0,55,False
0,0,1,0,27,False
0,0,0,0,39,False
1,1,1,0,26,False
0,0,1,0,24,False
0,0,1,0,24,False
0,0,1,0,25,False
0,1,1,0,25,False
0,1,0,0,20,False
0,1,0,0,24,False
1,0,1,0,25,False
0,1,0,0,25,False
1,0,1,0,21,False
0,1,3,0,25,False
0,1,1,0,21,False
0,1,2,0,22,False
0,0,2,0,23,False
3,1,20,0,23,False
2,1,16,0,25,False
1,1,5,0,24,False
2,1,3,0,24,False
1,1,3,0,24,False
1,0,5,0,24,False
0,1,3,0,23,False
1,0,3,0,26,False
1,1,3,0,18,False
0,0,4,0,21,False
1,1,5,0,19,False
1,0,3,0,20,False
1,0,1,0,29,False
1,0,3,0,30,False
1,0,3,0,26,False
0,0,2,0,26,False
1,0,2,0,19,False
1,1,4,0,22,False
0,1,1,0,25,False
0,0,4,0,31,False
0,0,4,0,36,False
1,0,3,0,100,False
0,1,2,0,40,False
0,1,1,0,48,False
0,0,3,0,33,False
0,0,3,0,27,False
0,0,3,0,22,False
1,0,2,0,20,False
0,0,2,0,22,False
0,0,3,0,24,False
1,1,2,0,18,False
1,0,2,0,21,False
1,0,1,0,20,False
1,0,1,0,26,False
0,1,3,0,24,False
1,0,2,0,27,False
0,0,2,0,16,False
1,0,1,0,22,False
0,0,2,0,22,False
0,0,2,0,27,False
0,0,2,0,20,False
1,1,2,0,17,False
0,1,2,0,19,False
0,0,3,0,18,False
0,0,4,0,17,False
0,0,3,0,19,False
0,0,1,0,18,False
0,0,2,0,17,False
0,0,2,0,15,False
1,0,2,0,14,False
0,0,2,0,14,False
0,1,3,0,15,False
1,0,1,0,11,False
0,0,1,0,16,False
1,1,2,0,18,False
0,0,1,0,17,False
0,0,1,0,12,False
0,0,1,0,16,False
0,0,2,0,17,False
0,0,1,0,15,False
0,0,2,0,16,False
0,0,1,0,17,False
1,1,2,0,19,False
0,0,1,0,15,False
0,0,1,0,15,False
0,1,2,0,15,False
0,1,2,0,18,False
0,0,1,0,15,False
0,1,1,0,16,False
0,0,1,0,19,False
0,0,1,0,15,False
0,0,2,0,19,False
0,1,1,0,19,False
1,0,2,0,15,False
0,1,1,0,16,False
0,0,2,0,17,False
0,0,1,0,15,False
1,0,2,0,25,False
0,0,2,0,46,False
1,0,1,0,20,False
1,0,1,0,13,False
0,0,2,0,13,False
0,0,1,0,16,False
0,0,2,0,28,False
0,0,1,0,26,False
0,0,2,0,19,False
0,0,2,0,16,True
