Martin Villeneuve,Raffaello D'Andrea,George Papandreou,Daniel Suarez,Iraola,isPartial
0,0,14,10,21,False
20,0,15,10,27,False
13,0,25,25,13,False
0,0,20,0,23,False
9,0,9,8,20,False
0,0,0,8,25,False
9,0,0,9,21,False
8,0,0,33,29,False
8,0,0,11,23,False
8,0,0,8,15,False
8,0,8,8,10,False
7,0,0,7,24,False
9,0,0,6,19,False
7,0,0,7,17,False
8,0,0,0,13,False
9,0,6,9,12,False
5,0,5,5,13,False
8,0,11,17,11,False
11,0,6,6,11,False
5,0,0,5,11,False
5,0,5,7,21,False
5,0,0,9,23,False
6,0,9,9,20,False
5,0,5,5,17,False
0,0,4,8,12,False
4,0,0,4,15,False
5,0,4,9,28,False
5,0,0,5,14,False
5,0,0,14,18,False
0,0,4,9,19,False
4,0,4,14,22,False
7,0,0,7,18,False
5,0,3,11,15,False
4,0,3,9,14,False
6,0,0,11,15,False
3,0,3,4,23,False
6,0,3,8,17,False
3,0,0,3,22,False
2,0,0,5,25,False
4,0,2,6,15,False
3,0,2,8,16,False
2,0,2,10,20,False
5,0,3,10,11,False
2,0,5,5,16,False
4,0,3,9,22,False
2,0,5,4,20,False
0,0,3,9,12,False
4,0,2,6,19,False
4,0,2,4,16,False
3,0,2,6,20,False
3,0,2,6,19,False
4,0,2,9,23,False
5,0,2,7,21,False
4,0,2,8,13,False
2,0,2,8,15,False
4,0,0,6,25,False
2,0,1,7,24,False
3,0,0,12,21,False
5,0,3,9,21,False
2,0,3,8,20,False
3,0,2,12,20,False
4,0,1,15,21,False
3,0,2,11,17,False
2,0,3,10,22,False
3,0,1,14,21,False
2,0,2,8,17,False
3,0,1,12,18,False
4,0,1,13,19,False
2,0,6,9,27,False
2,0,18,10,23,False
2,0,5,12,23,False
1,0,9,7,23,False
4,0,5,19,25,False
2,0,17,15,17,False
2,0,22,16,18,False
2,0,15,19,19,False
3,0,20,21,19,False
2,0,6,17,20,False
3,0,5,18,13,False
3,0,3,19,17,False
2,0,6,14,24,False
1,0,5,13,24,False
2,0,6,15,30,False
4,0,4,12,21,False
3,0,2,15,19,False
4,0,4,13,23,False
3,0,2,11,28,False
2,0,4,17,21,False
2,0,4,20,23,False
3,0,20,13,20,False
2,0,7,20,17,False
3,0,4,13,25,False
3,0,11,15,24,False
3,0,11,11,18,False
2,0,100,12,20,False
3,0,7,14,17,False
2,0,5,18,17,False
3,0,7,17,18,False
2,0,4,11,40,False
3,0,3,29,20,False
3,0,5,24,29,False
2,0,6,13,19,False
3,0,3,19,18,False
3,0,3,24,17,False
3,0,6,17,18,False
3,0,4,14,18,False
2,0,3,14,15,False
1,0,3,16,18,False
3,0,2,23,18,False
2,0,4,16,18,False
3,0,2,17,16,False
4,0,2,17,18,False
3,0,2,17,16,False
5,0,5,19,16,False
5,0,2,19,17,False
3,0,3,21,17,False
3,0,3,19,19,False
3,0,4,25,18,False
2,0,2,21,18,False
1,0,1,21,18,False
2,0,2,26,17,False
2,0,2,37,17,False
3,0,1,37,19,False
3,0,1,32,13,False
2,0,2,24,15,False
2,0,1,35,14,False
2,0,1,26,15,False
3,0,2,23,22,False
2,0,1,17,22,False
2,0,1,16,19,False
3,0,1,16,19,False
2,0,3,17,14,False
3,0,5,19,16,False
2,0,2,21,18,False
2,0,2,16,23,False
2,0,2,16,26,False
3,0,1,16,73,False
2,0,2,15,29,False
3,0,5,18,35,False
2,0,1,18,24,False
3,0,1,17,20,False
2,0,1,15,16,False
2,0,1,14,15,False
2,0,1,16,16,False
2,0,1,14,18,False
3,0,1,17,13,False
2,0,1,16,16,False
3,0,1,19,15,False
4,0,1,14,19,False
3,0,1,23,18,False
2,0,1,14,20,False
3,0,1,12,12,False
3,0,1,10,16,False
2,0,1,14,16,False
3,0,1,27,20,False
4,0,1,11,15,False
2,0,1,20,13,False
3,0,1,33,14,False
2,0,1,18,13,False
3,0,1,14,13,False
3,0,1,16,14,False
3,0,1,13,13,False
4,0,0,20,12,False
2,0,1,17,11,False
2,0,1,18,10,False
2,0,1,13,11,False
2,0,1,13,11,False
3,0,1,10,8,False
3,0,1,11,11,False
2,0,0,18,13,False
3,0,1,12,13,False
2,0,1,15,9,False
2,0,1,14,12,False
2,0,1,14,12,False
2,0,0,15,11,False
3,0,0,13,12,False
2,0,1,19,12,False
2,0,1,11,14,False
2,0,1,18,11,False
2,0,1,18,11,False
2,0,1,22,11,False
2,0,1,20,13,False
2,0,1,25,11,False
3,0,1,13,12,False
3,0,1,14,14,False
3,0,1,13,11,False
3,0,1,15,14,False
2,0,1,13,14,False
3,0,0,13,11,False
3,0,1,12,12,False
3,0,1,19,12,False
3,0,1,14,11,False
3,0,0,19,18,False
2,0,1,25,34,False
3,0,1,10,14,False
2,0,0,13,9,False
2,0,0,12,9,False
2,0,0,13,11,False
2,0,0,11,20,False
4,0,0,10,19,False
4,0,1,14,14,False
3,0,1,11,12,True
