Hetain Patel,Steve Howard,Charles Robertson,Parul Sehgal,Iraola,isPartial
0,79,20,0,20,False
0,65,10,0,26,False
0,52,20,0,12,False
0,38,19,0,22,False
0,46,8,0,19,False
0,49,8,0,24,False
0,62,8,0,20,False
0,63,16,0,28,False
7,29,12,7,22,False
0,25,18,0,15,False
0,42,7,0,10,False
0,44,14,0,23,False
0,38,12,0,18,False
0,55,17,0,16,False
0,44,9,0,12,False
0,40,24,0,12,False
0,61,17,0,12,False
0,25,12,0,11,False
5,56,14,0,11,False
0,29,9,0,10,False
0,34,12,0,20,False
0,32,13,0,22,False
0,51,18,0,19,False
0,56,10,0,16,False
4,27,8,0,11,False
0,34,8,4,14,False
3,42,13,0,27,False
0,32,18,0,13,False
0,42,15,0,18,False
0,34,18,0,19,False
3,45,7,0,21,False
0,40,11,0,17,False
0,51,12,0,14,False
3,38,8,0,14,False
3,31,5,0,14,False
0,33,7,0,23,False
0,38,7,0,16,False
0,36,11,0,21,False
0,34,6,0,24,False
2,34,6,0,15,False
0,38,9,0,16,False
0,33,9,0,20,False
0,29,7,0,11,False
0,38,10,0,15,False
0,32,11,0,21,False
0,34,5,0,19,False
0,30,6,0,11,False
0,34,10,0,18,False
0,38,9,0,16,False
0,30,5,2,19,False
0,30,7,0,19,False
1,39,7,2,22,False
0,31,8,0,20,False
2,29,7,0,13,False
1,27,7,0,15,False
0,28,6,0,24,False
1,25,5,0,24,False
1,21,5,1,20,False
1,30,10,0,20,False
0,23,7,0,19,False
1,32,7,0,20,False
0,25,5,1,20,False
0,29,6,0,16,False
0,32,9,1,21,False
0,30,7,1,20,False
0,30,8,0,16,False
1,31,6,0,18,False
1,26,6,1,19,False
2,25,7,1,26,False
1,28,4,0,22,False
0,22,3,1,22,False
1,32,3,1,22,False
0,28,6,0,24,False
0,28,6,2,16,False
0,24,5,0,17,False
0,27,4,1,18,False
0,33,3,1,18,False
1,29,5,0,19,False
1,29,6,1,13,False
1,29,8,1,16,False
1,28,7,1,23,False
0,26,4,1,23,False
1,29,5,1,29,False
1,26,6,0,20,False
1,28,7,1,18,False
1,31,4,1,22,False
1,25,4,1,27,False
1,23,5,1,20,False
1,25,4,1,22,False
1,27,3,1,19,False
1,29,5,1,17,False
1,30,7,1,24,False
0,25,5,1,23,False
1,37,5,1,17,False
1,22,5,0,19,False
0,26,7,1,16,False
1,27,6,1,17,False
0,27,7,2,18,False
0,28,4,0,39,False
1,23,5,2,19,False
0,31,7,1,28,False
0,26,5,0,18,False
0,100,5,0,17,False
0,79,5,1,17,False
0,42,6,1,18,False
0,50,7,1,17,False
0,44,5,1,14,False
0,42,6,0,17,False
0,42,7,1,17,False
0,44,4,1,17,False
0,36,6,1,15,False
1,39,4,0,17,False
0,25,5,0,15,False
0,24,5,1,15,False
0,34,4,0,16,False
0,21,5,1,16,False
0,19,6,2,18,False
5,20,7,5,17,False
2,22,7,4,17,False
1,22,7,1,17,False
1,21,7,1,17,False
0,23,5,2,17,False
1,20,5,1,18,False
1,22,4,1,13,False
1,19,5,1,15,False
0,18,4,1,14,False
0,18,6,1,14,False
0,20,5,1,21,False
0,16,5,1,21,False
0,19,4,0,18,False
1,20,6,1,18,False
0,15,4,1,14,False
1,21,3,1,15,False
0,20,5,1,18,False
0,18,5,1,22,False
1,17,4,1,25,False
1,20,5,0,70,False
0,21,5,0,28,False
0,19,5,1,34,False
0,19,5,1,23,False
0,18,4,1,19,False
1,23,5,0,16,False
1,16,3,1,14,False
0,21,4,2,15,False
0,20,4,2,17,False
1,17,5,0,13,False
0,16,4,1,15,False
1,20,3,1,14,False
0,21,5,1,18,False
0,21,5,1,17,False
1,15,3,1,19,False
1,15,3,0,11,False
1,15,3,1,15,False
1,16,4,0,16,False
1,18,5,0,19,False
1,16,4,1,14,False
0,24,4,0,12,False
1,17,4,1,13,False
0,19,4,1,12,False
1,15,4,1,12,False
0,17,4,1,14,False
0,15,4,1,12,False
1,15,4,2,12,False
1,11,4,1,10,False
0,12,3,1,10,False
1,13,4,1,10,False
1,14,4,2,11,False
1,12,3,1,8,False
1,29,5,0,11,False
0,16,4,1,13,False
1,13,4,1,12,False
1,13,4,1,9,False
1,15,3,1,11,False
1,17,3,1,12,False
0,14,2,1,11,False
0,19,4,1,12,False
0,13,3,1,12,False
0,13,3,1,13,False
0,15,3,1,10,False
1,13,4,2,11,False
0,19,4,1,11,False
0,18,4,1,13,False
0,13,3,0,11,False
1,15,3,1,12,False
0,16,3,1,13,False
0,14,4,2,11,False
0,16,3,2,13,False
0,14,3,1,13,False
1,14,3,1,10,False
0,14,4,1,11,False
1,12,4,1,12,False
0,12,4,1,10,False
0,14,5,2,17,False
0,14,4,2,33,False
0,11,3,2,14,False
0,14,5,1,9,False
0,14,5,1,9,False
0,12,4,1,11,False
0,10,3,1,20,False
1,12,4,2,18,False
0,13,3,1,13,False
0,13,5,1,12,True
