Guy Hoffman,Paula Johnson,Yves Morieux,Joe Kowan,Iraola,isPartial
0,28,14,0,28,False
14,14,0,0,37,False
34,34,0,0,17,False
22,27,0,0,31,False
12,29,0,0,27,False
11,23,0,0,35,False
0,36,0,0,28,False
11,11,0,11,39,False
10,34,0,0,31,False
10,21,0,0,21,False
11,32,0,0,14,False
0,15,0,0,33,False
9,17,0,0,26,False
9,15,0,0,23,False
7,15,0,0,18,False
11,28,0,0,17,False
7,20,0,0,17,False
8,19,0,0,15,False
10,23,0,0,15,False
7,12,0,0,15,False
7,7,0,0,29,False
9,10,0,6,31,False
12,12,0,0,27,False
6,12,0,0,23,False
7,23,0,0,16,False
11,24,0,0,20,False
5,22,0,0,38,False
10,10,0,0,19,False
5,9,0,0,25,False
5,15,0,0,26,False
5,13,0,5,29,False
5,30,0,5,24,False
7,19,0,0,20,False
8,9,0,0,20,False
5,17,0,0,21,False
4,15,0,0,32,False
7,16,0,0,23,False
7,13,0,0,30,False
6,14,0,0,34,False
17,10,0,0,21,False
6,9,3,0,22,False
3,15,6,0,28,False
6,10,3,0,16,False
9,17,3,0,21,False
8,19,3,0,30,False
2,15,0,0,27,False
12,17,0,0,16,False
6,16,0,0,26,False
5,16,0,0,22,False
5,19,2,0,27,False
6,11,0,0,26,False
5,19,0,0,32,False
8,12,0,0,29,False
6,11,0,0,18,False
5,16,2,0,21,False
8,15,0,0,34,False
4,13,0,0,33,False
3,13,0,0,29,False
5,12,0,0,28,False
4,15,0,0,27,False
4,14,0,2,28,False
8,9,0,0,29,False
6,15,0,2,23,False
5,11,0,0,29,False
4,10,0,0,28,False
5,14,0,2,23,False
6,15,2,0,25,False
6,9,0,0,26,False
5,14,1,0,37,False
4,11,0,0,32,False
7,14,3,0,32,False
2,11,1,0,32,False
7,24,0,0,35,False
4,10,0,0,23,False
5,13,0,0,25,False
5,15,0,0,26,False
3,10,0,0,26,False
6,15,0,0,27,False
8,17,2,0,18,False
3,18,1,0,23,False
3,14,2,0,33,False
4,13,1,0,33,False
4,16,0,0,41,False
5,18,1,1,29,False
5,13,0,0,26,False
6,11,0,0,31,False
3,11,2,0,39,False
4,15,1,0,29,False
3,13,1,0,31,False
6,13,1,0,28,False
4,14,1,0,24,False
5,14,0,1,34,False
9,13,0,0,32,False
6,14,1,0,25,False
5,10,0,1,27,False
7,13,0,0,23,False
6,10,0,0,24,False
5,15,0,0,25,False
6,12,0,1,55,False
4,10,0,0,27,False
6,9,1,0,39,False
3,12,1,0,26,False
5,11,1,0,24,False
5,12,0,0,24,False
4,12,1,0,25,False
5,10,0,1,25,False
5,14,0,1,20,False
9,11,1,0,24,False
6,13,0,0,25,False
5,11,1,0,25,False
4,10,1,0,21,False
4,9,0,1,25,False
6,10,0,0,21,False
5,29,1,0,22,False
6,20,1,1,23,False
6,17,1,0,23,False
4,16,1,1,25,False
5,10,1,1,24,False
4,7,0,0,24,False
4,11,1,0,24,False
10,12,7,1,24,False
49,13,12,2,23,False
10,12,9,0,26,False
9,12,4,1,18,False
9,11,4,1,21,False
4,11,3,1,19,False
7,14,3,1,20,False
5,10,2,1,29,False
6,8,3,1,30,False
9,10,2,0,26,False
8,8,3,0,26,False
9,9,2,0,19,False
8,11,5,0,22,False
8,11,2,1,25,False
6,14,2,1,31,False
5,12,2,0,36,False
5,10,2,0,100,False
5,11,2,0,40,False
7,12,1,0,48,False
6,11,3,0,33,False
9,11,9,0,27,False
4,10,6,1,22,False
6,11,5,1,20,False
6,9,5,0,22,False
5,10,3,1,24,False
6,18,2,0,18,False
5,11,3,0,21,False
5,10,2,0,20,False
4,10,3,1,26,False
6,14,2,1,24,False
5,11,3,0,27,False
5,12,2,0,16,False
4,11,2,1,22,False
3,10,3,0,22,False
4,11,1,0,27,False
4,10,1,0,20,False
6,9,2,0,17,False
4,9,2,0,19,False
4,7,3,1,18,False
4,12,1,0,17,False
4,11,2,1,19,False
3,10,1,1,18,False
3,8,1,0,17,False
5,11,1,0,15,False
3,8,2,0,14,False
5,6,4,0,14,False
5,9,3,0,15,False
5,8,1,0,11,False
5,8,1,0,16,False
3,8,1,1,18,False
5,8,2,1,17,False
3,8,2,1,12,False
3,5,2,0,16,False
4,7,1,0,17,False
4,7,1,1,15,False
4,7,1,0,16,False
3,9,1,0,17,False
5,6,2,0,19,False
3,7,1,0,15,False
3,5,1,0,15,False
3,5,1,0,15,False
3,8,1,0,18,False
4,8,3,1,15,False
4,9,2,0,16,False
3,6,1,0,19,False
4,6,2,0,15,False
5,6,1,0,19,False
3,7,1,0,19,False
4,8,1,1,15,False
3,6,2,0,16,False
3,7,1,1,17,False
5,6,2,0,15,False
4,8,1,0,25,False
4,8,1,0,46,False
4,6,1,0,20,False
4,10,1,0,13,False
4,8,1,0,13,False
5,10,1,0,16,False
3,8,1,0,28,False
5,7,1,1,26,False
4,7,1,0,19,False
4,7,1,1,16,True
